Product Name,Rating,Total Ratings,Price,Type,Platform,Categories
Women's Satin Silk Semi Stitched Lehenga Choli In Blue2 Colour Wedding Lehenga CholiForWomenSF218ver-5,3.6,6,"2,999",Lahenga,Amazon,Cloth
Women's Tussar Silk With Leheriya And Foil Print Lehenga choli Set (WINE2),3.5,3,"1,399",Lahenga,Amazon,Cloth
"Women's Velvet Embroidery Work Lehenga Choli With Dupatta(L79-New-Bridal-Latest-Wedding-Lehenga-Maroon,Free size)",4.3,22,"3,209",Lahenga,Amazon,Cloth
Women's Gerogette Semi Stitched Black Lehenga Choli,3.6,12,999,Lahenga,Amazon,Cloth
Women`s Net Embroidered Semi Stitched lehenga Choli,3.3,40,"1,000",Lahenga,Amazon,Cloth
"Women,s Tussar Silk With Leheriya And Foil Print Lehenga choli Set (PINK4)",3.8,6,"1,399",Lahenga,Amazon,Cloth
"Women,s Tussar Silk With Leheriya And Foil Print Lehenga choli Set (BLUE)",3.7,25,"1,299",Lahenga,Amazon,Cloth
Women Lehenga Choli,3.5,8,949,Lahenga,Amazon,Cloth
Women's Chikankari Sequins Embroidery Georgette Lehenga Choli with Dupatta Lehenga Choli with Dupatta,4.4,15,"2,549",Lahenga,Amazon,Cloth
madhuram women'S Georgette Lehenga And Choli With Long Shrug Set For Solid With Heavy Embroidery Work Set(M-2410),4.5,16,"1,599",Lahenga,Amazon,Cloth
Zora Carpet Wool Handmade Tufted Carpet for Living Room Bedroom Drawing Room Hall and Floor Size-5 X 8 Ft Yellow,3,1,"7,880",Home Decor,Amazon,Decorative Item
"NACIA Pouffes Stool for Living Room Set of 2 Sitting Ottoman Foam Cushioned Pouffe Puffy for Foot Rest Home Furniture with 4 Wooden Legs Velvet Stool for Office Home Decor, 16 Inch, Green",4.8,9,"3,099",Home Decor,Amazon,Decorative Item
FarKraft Flower Vase | White Vase | Pampas Grass Vase | Ceramic Vase | Round Shaped Vase | Home Decor Centrepiece | Decor Showpiece Donut Vase 6 & 8 Inches (Pack of 2),4.3,81,799,Home Decor,Amazon,Decorative Item
